Ntotal t1 t2 t3 t4 t5 winner prob_superior2 prob_superior3 prob_superior4 prob_superior5 prob_futile2 prob_futile3 prob_futile4 prob_futile5
140 23 35 15 38 29 4 0.556 0.45 0.69 0.996 0.444 0.55 0.31 0.004
290 51 35 54 29 121 4 0.486 0.392 0.26 0.998 0.514 0.608 0.74 0.002
200 39 52 42 24 43 4 0.874 0.844 0.608 1 0.126 0.156 0.392 0
110 25 11 24 19 31 4 0.354 0.74 0.364 1 0.646 0.26 0.636 0
260 59 22 18 30 131 4 0.102 0.088 0.574 0.992 0.898 0.912 0.426 0.008
260 50 15 32 46 117 4 0.016 0.314 0.25 0.994 0.984 0.686 0.75 0.006
320 64 47 58 46 105 4 0.356 0.548 0.476 0.992 0.644 0.452 0.524 0.008
50 12 10 8 7 13 4 0.374 0.282 0.594 0.992 0.626 0.718 0.406 0.008
110 20 30 15 26 19 4 0.91 0.804 0.966 0.994 0.09 0.196 0.034 0.006
50 11 8 6 14 11 4 0.974 0.772 0.918 0.996 0.026 0.228 0.082 0.004
200 41 24 43 24 68 4 0.318 0.522 0.22 0.998 0.682 0.478 0.78 0.002
290 63 56 62 37 72 4 0.602 0.914 0.524 0.996 0.398 0.086 0.476 0.004
200 40 20 25 15 100 4 0.06 0.014 0.066 0.998 0.94 0.986 0.934 0.002
140 25 37 27 22 29 4 0.798 0.772 0.808 0.992 0.202 0.228 0.192 0.008
80 21 19 14 11 15 4 0.61 0.708 0.074 1 0.39 0.292 0.926 0
170 40 26 45 21 38 4 0.666 0.88 0.7 0.996 0.334 0.12 0.3 0.004
110 19 17 23 29 22 4 0.214 0.378 0.528 0.996 0.786 0.622 0.472 0.004
50 14 8 10 8 10 4 0.432 0.778 0.976 1 0.568 0.222 0.024 0
110 20 19 21 15 35 4 0.246 0.544 0.59 0.992 0.754 0.456 0.41 0.008
260 60 45 50 52 53 4 0.53 0.26 0.682 0.998 0.47 0.74 0.318 0.002
170 31 29 29 39 42 4 0.584 0.74 0.898 0.994 0.416 0.26 0.102 0.006
80 15 20 10 17 18 -1 0.938 0.96 0.914 0.99 0.062 0.04 0.086 0.01
350 53 28 90 26 153 4 0.106 0.242 0.052 0.992 0.894 0.758 0.948 0.008
80 13 21 12 18 16 4 0.85 0.624 0.766 0.998 0.15 0.376 0.234 0.002
260 54 34 19 35 118 4 0.434 0.008 0.612 0.998 0.566 0.992 0.388 0.002
110 23 18 22 19 28 4 0.148 0.652 0.884 1 0.852 0.348 0.116 0
110 25 28 19 3 35 4 0.822 0.798 0.264 0.994 0.178 0.202 0.736 0.006
230 58 38 21 20 93 4 0.122 0.16 0.038 0.996 0.878 0.84 0.962 0.004
200 44 30 41 28 57 4 0.444 0.606 0.412 0.998 0.556 0.394 0.588 0.002
170 33 36 31 30 40 4 0.914 0.678 0.594 1 0.086 0.322 0.406 0
170 32 34 34 27 43 4 0.912 0.322 0.452 0.992 0.088 0.678 0.548 0.008
290 57 19 28 15 171 4 0.08 0.084 0.166 0.998 0.92 0.916 0.834 0.002
350 87 55 30 47 131 4 0.208 0.136 0.39 1 0.792 0.864 0.61 0
140 19 24 32 31 34 4 0.72 0.604 0.686 1 0.28 0.396 0.314 0
230 32 18 47 44 89 4 0.246 0.502 0.358 0.998 0.754 0.498 0.642 0.002
290 56 69 58 61 46 4 0.916 0.69 0.818 0.996 0.084 0.31 0.182 0.004
230 44 31 35 31 89 4 0.314 0.35 0.412 0.992 0.686 0.65 0.588 0.008
140 24 36 27 19 34 4 0.988 0.748 0.568 0.992 0.012 0.252 0.432 0.008
260 46 32 22 42 118 4 0.312 0.1 0.566 0.992 0.688 0.9 0.434 0.008
170 41 42 17 21 49 4 0.726 0.66 0.36 0.996 0.274 0.34 0.64 0.004
80 22 12 11 16 19 4 0.32 0.34 0.456 1 0.68 0.66 0.544 0
320 65 18 55 74 108 4 0.422 0.5 0.59 1 0.578 0.5 0.41 0
50 12 13 5 9 11 4 0.9 0.86 0.442 0.994 0.1 0.14 0.558 0.006
290 56 47 71 28 88 4 0.412 0.546 0.13 0.998 0.588 0.454 0.87 0.002
80 26 13 9 14 18 4 0.6 0.084 0.23 0.998 0.4 0.916 0.77 0.002
110 17 26 29 22 16 4 0.612 0.736 0.806 1 0.388 0.264 0.194 0
80 16 21 15 11 17 4 0.798 0.748 0.934 0.996 0.202 0.252 0.066 0.004
140 31 28 24 27 30 4 0.948 0.654 0.874 0.998 0.052 0.346 0.126 0.002
350 66 57 45 58 124 4 0.552 0.252 0.238 0.998 0.448 0.748 0.762 0.002
80 19 12 6 22 21 4 0.5 0.144 0.408 0.994 0.5 0.856 0.592 0.006
170 44 16 33 28 49 4 0.584 0.38 0.806 0.992 0.416 0.62 0.194 0.008
170 27 14 35 34 60 4 0.172 0.356 0.512 0.994 0.828 0.644 0.488 0.006
290 66 42 48 67 67 4 0.396 0.266 0.54 0.996 0.604 0.734 0.46 0.004
80 13 24 15 14 14 4 0.88 0.72 0.97 1 0.12 0.28 0.03 0
380 78 43 27 17 215 4 0.128 0.056 0.042 0.994 0.872 0.944 0.958 0.006
140 25 29 28 15 43 4 0.712 0.786 0.288 0.998 0.288 0.214 0.712 0.002
230 39 24 56 30 81 4 0.266 0.478 0.218 0.992 0.734 0.522 0.782 0.008
380 87 62 84 47 100 4 0.33 0.73 0.334 0.992 0.67 0.27 0.666 0.008
410 91 66 24 71 158 4 0.102 0.01 0.4 0.992 0.898 0.99 0.6 0.008
200 41 16 30 39 74 4 0.04 0.372 0.256 0.992 0.96 0.628 0.744 0.008
170 36 17 19 23 75 4 0.044 0.082 0.228 1 0.956 0.918 0.772 0
50 11 10 7 13 9 4 0.912 0.422 0.292 0.992 0.088 0.578 0.708 0.008
50 6 8 14 12 10 4 0.96 0.538 0.782 0.998 0.04 0.462 0.218 0.002
80 17 17 15 8 23 4 0.364 0.266 0.148 0.992 0.636 0.734 0.852 0.008
80 24 8 18 6 24 4 0.588 0.486 0.16 0.998 0.412 0.514 0.84 0.002
110 24 13 25 16 32 4 0.082 0.532 0.434 0.996 0.918 0.468 0.566 0.004
